ID,Bezirk,Standort,Vertrag,Betreiber,Modelltyp,Symbol,Öffnungszeiten,Nutzungsentgelt,Zahlungsart,Barrierefrei,Barrierearm,Wickeltisch
124,Mitte,Alt-Moabit ggü. 81-82 vor Ottostr.,Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
125,Neukölln,"U-Bhf. Wutzkyallee, Joachim-Gottschalk-Weg 12 - 14",Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
126,Pankow,"Helmholtzplatz, Raumerstr. ggü. 9",Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette 1 Platz mit 2 Pissoirs,WC,24h,0.0,-,ja,ja,ja
127,Tempelhof-Schöneberg,"S-Bhf. Priesterweg, Priesterweg ggü. Parkplatz",Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
128,Tempelhof-Schöneberg,Marienfelder Allee 144-146 ggü. Malteserstr.,Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
130,Marzahn-Hellersdorf,"S-Bhf. Wuhletal, Altentreptower Str.",Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,ja
131,Steglitz-Zehlendorf,Steglitzer Damm ggü. 3 hinter Albrechtstr.,Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
132,Friedrichshain-Kreuzberg,"Traveplatz, Weichselstr. ggü. 13-14 vor Travestr.",Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
134,Pankow,Wichertstr. 21 Mittelinsel hinter Stahlheimer Str. 3a,Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette 1 Platz mit 2 Pissoirs,WC,24h,0.0,-,ja,ja,nein
135,Pankow,Berliner Allee ggü. 160 ggü. Wegenerstr. 1 (am Weißen See),Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette 1 Platz mit 2 Pissoirs,WC,24h,0.0,-,ja,ja,ja
