,bezirk,ortsteil,subdistrict_avg_mietspiegel_classification,subdistrict_total_full_time_employees,subdistrict_avg_median_income_eur,classification_category
78,tempelhof-schoeneberg,marienfelde,1.4305555555555556,401040.0,3824.5,affordable
79,tempelhof-schoeneberg,schoeneberg,2.054140127388535,10589336.0,4156.111111111111,moderate
80,tempelhof-schoeneberg,tempelhof,1.7307692307692308,2581800.0,3935.5,moderate
81,treptow-koepenick,adlershof,1.806201550387597,428667.0,4388.0,moderate
82,treptow-koepenick,alt-treptow,2.306122448979592,193648.0,3998.0,moderate
83,treptow-koepenick,altglienicke,1.5,142688.0,4138.0,moderate
84,treptow-koepenick,baumschulenweg,1.6901408450704225,0.0,3955.6111111111113,moderate
85,treptow-koepenick,bohnsdorf,1.4603174603174602,133182.0,3262.0,affordable
86,treptow-koepenick,friedrichshagen,2.417391304347826,279335.0,3350.0,moderate
87,treptow-koepenick,gruenau,2.0579710144927534,0.0,3955.6111111111113,moderate
88,treptow-koepenick,johannisthal,1.8333333333333333,69888.0,4138.0,moderate
89,treptow-koepenick,koepenick,1.9666666666666666,2801700.0,4241.0,moderate
90,treptow-koepenick,mueggelheim,1.5576923076923077,0.0,3955.6111111111113,moderate
91,treptow-koepenick,niederschoeneweide,1.7254901960784315,0.0,3955.6111111111113,moderate
92,treptow-koepenick,oberschoeneweide,1.5280898876404494,621665.0,4078.0,moderate
93,treptow-koepenick,plaenterwald,1.8372093023255813,0.0,3955.6111111111113,moderate
94,treptow-koepenick,rahnsdorf,1.2877697841726619,347222.0,4007.5,affordable
95,treptow-koepenick,schmoeckwitz,1.3012048192771084,0.0,3955.6111111111113,affordable
