PLR,full_time_employees,median_income_eur
Carl-Schurz-Straße,2575,3341
Freiheit,804,3333
Isenburger Weg,883,4403
Am Heideberg,383,•
Staakener Straße,1216,3854
Spandauer Straße,941,3412
Werkstraße,337,•
Magistratsweg,1325,3135
Döberitzer Weg,814,4066
Pillnitzer Weg,638,4017
Rudolf-Wissell-Großsiedlung,1028,2806
Maulbeerallee,1564,2886
Weinmeisterhornweg,1386,3716
Borkumer Straße,1990,3698
Wilhelmstadt West,2426,3456
Wilhelmstadt Ost,2177,3386
Tiefwerder,698,3404
Graetschelsteig,403,•
Börnicker Straße,787,4255
Haveleck,1186,3774
Zitadellenweg,790,3537
Gartenfelder Straße,2650,3290
Gartenfeld,*,•
Rohrdamm,*,•
Nonnendammallee,*,•
Siemensdamm,*,•
Alt-Gatow,584,4663
Jägerallee,1989,5176
Kladower Damm,292,•
Kafkastraße,582,5167
Fichtenberg,1340,4792
Schloßstraße,2231,4626
Markelstraße,1552,4501
Munsterdamm,1673,3864
Südende,2437,4108
Stadtpark,1807,4014
Mittelstraße,1978,4318
Bergstraße,1779,4308
Feuerbachstraße,2415,4118
Bismarckstraße,1243,4138
Alt-Lankwitz,966,3941
Komponistenviertel Lankwitz,1158,4446
Lankwitz Kirche,1857,3685
Kaiser-Wilhelm-Straße,1874,3729
Gallwitzallee,1538,3822
Belßstraße,1227,3358
Lankwitz Süd,1290,4151
Landweg,*,•
Thermometersiedlung,*,•
Lichterfelde Süd,1010,3378
Königsberger Straße,1533,3873
Oberhofer Platz,1735,4237
Schütte-Lanz-Straße,1459,4563
Berlepschstraße,974,4457
Zehlendorf Süd,1305,3660
Zehlendorf Mitte,693,4626
Sundgauer Straße,1973,4370
Teltower Damm,1885,4802
Botanischer Garten,1526,4318
Hindenburgdamm,1174,4162
Goerzwerke,561,4387
Schweizer Viertel,2686,5353
Augustaplatz,2482,4566
Lichterfelde West,1510,5360
Wannsee,1645,5287
Düppel,898,4982
Nikolassee,1557,4958
Krumme Lanke,1135,5642
Fischerhüttenstraße,843,5196
Fischtal,1227,4932
Zehlendorf Eiche,1009,4761
Hüttenweg,1022,5282
Thielallee,765,5976
Dahlem,1118,5682
Wittenbergplatz,2164,4515
Kalckreuthstraße,1754,4506
Frobenstraße,1544,3904
Barbarossaplatz,2519,4849
Alvenslebenstraße,990,3596
Großgörschenstraße,1869,4376
Bayerischer Platz,2478,4510
Volkspark (Rudolph-Wilde-Park),2521,4313
Belziger Straße,2201,4735
Feurigstraße,1133,3969
Julius-Leber-Brücke,565,4492
Schöneberger Linse,662,5679
Cheruskerstraße,2001,4614
Hohenfriedbergstraße,865,4694
Taunusstraße,1706,5101
Odenwaldstraße,2144,4789
Perelsplatz,2034,5012
Ceciliengärten,2126,4726
Grazer Platz,2820,3969
Gontermannstraße,2437,3820
Paradestraße,1030,4405
Lindenhofsiedlung,831,4396
Wittekindstraße,2427,3689
Bosepark,1741,4039
Friedrich-Karl-Straße,1920,3954
Marienhöhe,1156,3787
Rathaus Tempelhof,2613,3679
Germaniagarten,981,3445
Ringstraße,2081,3588
Machonstraße,2009,3721
Eisenacher Straße,2055,3710
Imbrosweg,1396,3844
Fritz-Werner-Straße,1828,3501
Hundsteinweg,2057,4051
Birnhornweg,470,•
