ortsteil,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
adlershof,-2.8482943409345083,1.2219167890542197,0.9306504256469026,-0.7769052949620714,0.34480495843662173,-0.36862551613913364,0.17974683090661803,1.088750820826216,-0.17186205720082054,2.0263783177066044,0.8481122615794098,3.904120572025561,-1.305328765451906,2.56560219723595,-2.733887693515857,1.5940617763441856,2.024621267765076,4.6892997443025655,-3.5454036815922216,1.8387566014390464,1.4188930404614568,1.9232393638801886,-0.3734664891329408
alt-hohenschoenhausen,1.3819806806833028,-1.1692535649762863,-1.391294953641298,0.14114244444177995,0.13514007385039506,0.21438559721268619,-0.9193371247834019,-0.07240085573119355,-0.8093843254458238,0.9787044724225403,-0.17612330864103676,-1.4713348088948495,-0.027259712443123446,-0.09037216576660712,-0.15449611051780157,0.20443032801389627,0.09030330289332862,0.1918168848831796,-0.3627546702547134,-0.395248243215141,-0.2667618355630901,-0.11536003775973593,0.03370637263979106
alt-treptow,-3.4945875730294165,1.9705248102541373,1.4300875746150892,-1.32631293479008,-0.6377922733579535,-1.0402705353585826,0.16019408265410995,3.4418607839267072,-0.15214841896233358,-0.17183516499348445,0.40391340035736994,0.39754876352908675,1.4579490040277574,-0.4140017992542314,-1.3074693002542006,0.47530473803097484,-0.09813567024198802,-0.021360045748877152,0.18380771465632756,-0.01311335391812327,-0.2494911699676872,-0.959005418032702,1.0544638420545465
altglienicke,-2.0773405237135423,0.29405498865984764,-0.8262327202294213,-1.1641625240623383,1.0979337383514747,-1.4472100114331505,-0.7782199198999842,1.8141782088960572,-1.7523013677141102,-0.5042277721060844,-1.9171744656904253,1.7587241917395795,-2.354600346938032,-2.3468468935339555,-1.8755207878539517,-2.816008333797915,5.530911604111235,-3.564676033297984,1.317368686995106,2.3113613496432497,0.7651309027109964,1.0084565190184684,-1.7915620010784765
baumschulenweg,-3.4559032400372844,0.16055445708793684,0.027113972667857797,0.07408850802697033,0.023297562090367912,0.07186561345381566,0.5976017046973898,-0.009864327753859859,-0.11768552949674492,-0.5286704793657169,0.7611165848482931,1.0634643522918712,-0.08417793416261259,0.6447224042271396,-0.022852176561205476,0.018079639668393842,0.020893253308887017,-0.09392914054240052,0.06433199928714962,0.211898411770827,0.22616794416290895,-0.1646418288373568,0.11987764675736862
biesdorf,-1.216613696508468,-0.7846019618228668,-0.5291859892985875,0.5561649014599994,-0.07888004317994816,0.7260734187926984,-1.543611298483877,-1.0573911415113684,1.0009909325436508,1.4600649048017864,-0.5134108993756148,-2.036234946845932,2.008236065702477,0.9335547095507211,0.40808469306133,5.701465044144393,1.666811393972476,-0.6798517281178532,4.324695340537291,1.741317371646391,3.965897449018639,0.07142859007637603,-2.6318380584817973
blankenburg,-4.882087669496138,0.35938365734400135,0.7551757233694857,-0.01982285482498148,-0.17329641812910643,0.25000305315006904,-0.023900034028491998,-0.22149345947143081,-1.6110790644312385,1.8039841631217293,-0.673668410074042,-1.2423110446621524,-0.029142579030152785,0.33876487225667506,-0.17281631041972684,0.3243074255984979,0.17255246970981925,0.0973387864758198,-0.24766064809595756,-0.28051565054416083,-0.303929057406676,-0.044223271771120044,0.3383610457917324
blankenfelde,-5.18943049525465,0.8532089543610831,1.3977952235017865,-0.12052348217185295,-0.13310636388135985,0.22572343017989213,-0.3555533347772616,-0.19154400654230214,0.1549482572060837,1.3527251702983094,-0.26760657604009047,-0.9973967209226811,0.7901314812758193,-0.609929096823718,1.8367599233768857,0.4585846712875139,0.29062010811217237,0.322991382240198,-0.7053844904340829,-1.1878590987264905,0.04983466503992326,0.3053215998382201,0.3594785800628319
bohnsdorf,-4.4290136466171575,0.3117327148982223,0.0700546381628223,-0.2303261823881968,0.25821791922316767,-0.24749668783364898,0.0994839729030219,0.3866137000628018,-0.6691921827196612,-0.8384587880465968,0.2891783354425151,0.27431591500917923,0.012650294538478423,0.309577988404215,0.13145462533093602,0.31792591494025446,-0.12111172522460215,0.07814869010274154,0.04081620162663453,0.08381132953805477,0.0024971984165683262,-0.37560572482712906,0.23759436355644462
borsigwalde,-4.929626453255207,0.7673051321306371,0.7699565890777567,-0.20900057440638387,0.49836378442522594,-0.24914018023191092,0.3321502200226977,0.02034431467216501,0.574269085495454,0.0911115843736203,0.579336024977303,0.24216612901489273,-0.007859382317573596,0.7228709844391487,0.9954291040986173,-0.3942213040620752,0.21709478269537838,0.045809588390595145,-0.1893129430580015,-0.2511350996139613,0.41842950001381213,-0.10266165065502449,-0.056603647767811016
britz,0.6326210536122436,-0.5292509899278762,-1.2588453272343,-0.10287962034435452,1.078651152635294,-0.4981880559883043,-1.7849872104261642,-0.0834193506092689,0.24657790804239949,-0.13009904451065502,0.30458597143171634,0.5061098760989314,0.9418783805360826,-0.0025214628196560977,0.500278219093332,0.5128940707976303,-0.2693923016164513,-0.3600884635361512,0.3301577597725138,0.22893197557290368,0.03424101678431421,0.033069208542509214,0.8031393074078319
buch,-3.578554101526828,0.28538718804482344,-0.5467289151524333,-0.34642289774781904,0.8771016724049423,-0.5182208081624988,-1.6585177962140936,0.46733459716717757,0.698250872334464,-4.2002922438705115,0.13972676598892214,-2.556525335194566,0.9147345423179035,-1.4532482716093165,1.3062732782005668,1.76883665544417,-0.061108485359983415,2.4940096111609473,-1.2916781061998879,3.9570862979731856,-4.4296491875336255,3.449805010125243,-2.283837140719811
buckow,-0.39295389890260435,-1.3571440193892914,-1.2435629652498197,0.4046993000059716,0.48990678678967153,0.0883384112851494,0.021812103203676683,-0.29404598777495555,-0.4767706273480863,-0.042647788955692364,0.4988573018255307,-0.24024932280703673,-0.32882950658892945,0.2956798313117785,0.3184293002294419,-0.5968700309768693,-0.0028490336858900257,-0.015618901065707657,0.04883131550025827,-0.09188522704928996,0.035793825453400256,-0.07878178548076047,-0.15408117121919537
charlottenburg,17.79710432743692,-4.853219633001287,12.684556150081566,10.542291444947052,7.389549213661228,-2.8577768129109278,0.27820586583865137,0.4671041927082579,-0.9162845020874906,-0.7848334438919978,-0.40013024428290206,-0.04370895426573936,0.5137289888716031,0.10583372205970756,-0.2743554420995054,0.1529706814648257,0.24843387278637707,0.05888244443916134,-0.04141674982031751,0.0009813701659611197,0.08939698221678578,-0.13538776156916973,0.4846705883134569
charlottenburg-nord,-3.162789985166537,0.26502603851852835,-0.22700159624732785,-0.15775130476316,0.8591524318282261,-0.4657626922233561,-0.31591542192614913,-0.16517575207577678,-0.21302642357344548,0.9600923218057829,0.6229006027889752,-0.6030570123285579,-0.23418889977708,0.4925333312344459,0.22833229967590732,-0.5100943837198573,0.23545411078440212,-0.04864756730362346,-0.03872637344076618,-0.20043856467769378,0.06366543236211271,-0.18700940066782262,0.042751992170928316
dahlem,-2.890411624315205,0.39074920739589214,1.3187307518811786,-0.1868470790728347,-0.8047135253384047,0.5086828224531559,0.5930090061721291,-0.4801740921072863,1.6939993285228718,1.0905672843224596,-1.6485018396067994,0.3643714407633917,-0.22129296638276447,-1.9318076247347287,1.3763283777453474,-1.0530754041361836,0.43519101568765073,0.27049798953610016,-0.3624187073780044,-1.2281472993291138,0.09197891535305176,0.8570397502042834,-0.6572211330723365
falkenberg,-5.713289410646247,1.7503650351823705,0.21006045776566898,-1.33106313425333,1.759177577119215,-1.8486078357694997,-1.3435053717953118,1.189233624019029,-0.6697209787219074,-0.10372822134903414,0.30671248046565,-1.4476559597286518,-0.05396712163957263,-0.8788358313544841,0.20341395439911994,-0.2559299911289629,0.3029734997590943,-0.0027406184711075763,-0.34947417288413296,-0.460186730495768,-0.012747822156537532,-0.37924437304373937,0.5435704685614684
falkenhagener feld,-1.1454137544270695,-1.2573591319602109,-1.947884739954141,-0.10246112407467058,1.0505650315603545,-0.7088956446754262,-0.4340109708178883,0.8205817603275638,-3.6761225146819294,-1.121327320843442,1.3860759540995464,-0.802555242388149,-1.2218243746049446,0.37879429411372684,1.660425540146759,-2.365279222641439,-4.735190151149523,0.2803284130555496,-0.6907742681602506,1.3634974502702821,5.496338141379524,2.0306405928107396,-1.470705195097308
fennpfuhl,-0.9730783560593568,-0.8020423747987108,-0.5824999250981198,-0.5489573568870537,-1.0876387082715113,-2.160549054036285,0.5102102177457405,-2.4099362977136383,-0.36019841282778553,-1.338661505422325,0.9840842959374295,-1.247949711084265,1.0486765282453436,1.684575130329015,-0.4290519607650691,0.1259014487703982,0.43001920058533044,0.2982214335351896,-0.2516246221147469,0.38067293296077775,0.38714870845398164,-0.5428967496603199,1.334244713233874
franzoesisch buchholz,-2.783879301704566,0.30573969391889827,0.0017515300065683904,-1.0717807470046918,-0.28780020731057726,-2.0577782529835402,-0.07790397297370967,-1.709669312759826,-1.8901438128616501,0.8522191572648095,-0.42428680045866285,-1.4414404644906222,0.4608882814926286,0.2894316840363183,-0.5719219402832437,0.2490511552040816,0.6952802518408897,0.4104748871123516,-0.6203680649487805,-0.268804743536483,-0.07123937526150496,-0.3157064173062997,1.357651285147571
friedenau,-1.2329831425592876,0.20551748527904465,1.2938467378357932,-0.330876308837133,-1.5575445417424725,0.41725888205502204,1.0066327577514038,1.2735111137245188,1.6931575557602312,1.030715335566451,-0.380444453072234,-0.015308692890794912,-2.498918461718548,-0.6764220999589202,0.22769134548895226,0.8950861669737633,-0.33428763635518677,-0.17133795314654862,-0.0005503904005728897,-0.22413441043366167,-0.33722910228627745,0.21301991844656135,0.11731745590209842
