street_name,district,territorial_side,house_number_range,house_number_scheme_code,house_number_scheme,classification
Aachener Straße,Charlottenburg-Wilmersdorf,,1 - 4 A,F,Consecutive numbering,mittel
Aachener Straße,Charlottenburg-Wilmersdorf,,5 - 16,F,Consecutive numbering,gut
Aachener Straße,Charlottenburg-Wilmersdorf,,17 - 26,F,Consecutive numbering,mittel
Aachener Straße,Charlottenburg-Wilmersdorf,,27 - 45,F,Consecutive numbering,gut
Aalemannufer,Spandau,,whole street,K,Complete street,mittel
Aalesunder Straße,Pankow,,whole street,K,Complete street,mittel
Aalstieg,Treptow-Köpenick,,whole street,K,Complete street,einfach
Aarauer Straße,Steglitz-Zehlendorf,,whole street,K,Complete street,mittel
Aarberger Straße,Steglitz-Zehlendorf,,whole street,K,Complete street,mittel
Aaron-Bernstein-Platz,Mitte,,whole street,K,Complete street,gut
Abajstraße,Pankow,,whole street,K,Complete street,mittel
Abbestraße,Charlottenburg-Wilmersdorf,,whole street,K,Complete street,mittel
Abendrotweg,Tempelhof-Schöneberg,,whole street,K,Complete street,mittel
Abendseglersteig,Treptow-Köpenick,,whole street,K,Complete street,einfach
Abram-Joffe-Straße,Treptow-Köpenick,,whole street,K,Complete street,mittel
Abtstraße,Treptow-Köpenick,,whole street,K,Complete street,mittel
Abtweilerstraße,Treptow-Köpenick,,whole street,K,Complete street,einfach
Achardstraße,Marzahn-Hellersdorf,,whole street,K,Complete street,mittel
Achenbachstraße,Spandau,,whole street,K,Complete street,einfach
Achenseeweg,Steglitz-Zehlendorf,,whole street,K,Complete street,mittel
Achillesstraße,Pankow,,whole street,K,Complete street,mittel
Achtermannstraße,Pankow,,whole street,K,Complete street,mittel
Achtrutenberg,Pankow,,whole street,K,Complete street,mittel
Ackerplanweg,Reinickendorf,,whole street,K,Complete street,mittel
Ackerstraße,Mitte,,1 - 43,F,Consecutive numbering,gut
Ackerstraße,Mitte,,45 - 137,F,Consecutive numbering,einfach
Ackerstraße,Mitte,,144 - 174,F,Consecutive numbering,gut
Ackerstraße,Spandau,,whole street,K,Complete street,einfach
Adalbertstraße,Friedrichshain-Kreuzberg,,whole street,K,Complete street,einfach
Adalbertstraße,Mitte,,24 - 33,F,Consecutive numbering,gut
Adalbertstraße,Mitte,,35 - 53,F,Consecutive numbering,mittel
Adalbertstraße,Mitte,,57 - 66,F,Consecutive numbering,gut
Adamstraße,Spandau,,whole street,K,Complete street,einfach
Adam-von-Trott-Straße,Charlottenburg-Wilmersdorf,,whole street,K,Complete street,einfach
Adele-Sandrock-Straße,Marzahn-Hellersdorf,,whole street,K,Complete street,mittel
Adele-Schreiber-Krieger-Straße,Mitte,,whole street,K,Complete street,gut
Adelheidallee,Reinickendorf,,whole street,K,Complete street,gut
Adelheid-Poninska-Straße,Spandau,,whole street,K,Complete street,mittel
Adersleber Weg,Marzahn-Hellersdorf,,whole street,K,Complete street,einfach
Adickesstraße,Spandau,,whole street,K,Complete street,einfach
Adlergestell,Treptow-Köpenick,,73 - 543,U,Odd numbers only,mittel
Adlergestell,Treptow-Köpenick,,250 - 566,G,Even numbers only,mittel
Adlergestell,Treptow-Köpenick,,573 - 615,U,Odd numbers only,gut
Adlergestell,Treptow-Köpenick,,582 - 610,G,Even numbers only,gut
Adlergestell,Treptow-Köpenick,,623 - 785,U,Odd numbers only,einfach
Adlergestell,Treptow-Köpenick,,650 - 786,G,Even numbers only,einfach
Adlershofer Straße,Treptow-Köpenick,,whole street,K,Complete street,einfach
Adlerstraße,Treptow-Köpenick,,whole street,K,Complete street,einfach
Admiralstraße,Friedrichshain-Kreuzberg,,whole street,K,Complete street,einfach
Adolf-Heyden-Straße,Treptow-Köpenick,,whole street,K,Complete street,mittel
Adolf-Martens-Straße,Steglitz-Zehlendorf,,whole street,K,Complete street,gut
Adolf-Menzel-Straße,Marzahn-Hellersdorf,,whole street,K,Complete street,mittel
Adolf-Scheidt-Platz,Tempelhof-Schöneberg,,whole street,K,Complete street,mittel
Adolfstraße,Marzahn-Hellersdorf,,whole street,K,Complete street,mittel
Adolfstraße,Mitte,,whole street,K,Complete street,einfach
Adolfstraße (Stegl),Steglitz-Zehlendorf,,whole street,K,Complete street,mittel
Adolfstraße (Zehld),Steglitz-Zehlendorf,,whole street,K,Complete street,mittel
Adolf-Wermuth-Allee,Lichtenberg,,whole street,K,Complete street,mittel
Adorfer Straße,Marzahn-Hellersdorf,,whole street,K,Complete street,einfach
Aegirstraße,Reinickendorf,,whole street,K,Complete street,einfach
AEG-Siedlung Heimat,Reinickendorf,,whole street,K,Complete street,mittel
AEG-Straße,Reinickendorf,,whole street,K,Complete street,mittel
Affensteinweg,Pankow,,whole street,K,Complete street,einfach
Afrikanische Straße,Mitte,,whole street,K,Complete street,einfach
Agathenweg,Reinickendorf,,whole street,K,Complete street,mittel
Agavensteig,Lichtenberg,,whole street,K,Complete street,mittel
Agavensteig,Treptow-Köpenick,,whole street,K,Complete street,einfach
Agnes-Hacker-Straße,Treptow-Köpenick,,whole street,K,Complete street,einfach
Agnes-Straub-Weg,Neukölln,,whole street,K,Complete street,mittel
Agnes-Wabnitz-Straße,Pankow,,whole street,K,Complete street,mittel
Agnethaweg,Lichtenberg,,whole street,K,Complete street,mittel
Agricolastraße,Mitte,,1 - 6,F,Consecutive numbering,gut
Agricolastraße,Mitte,,7 - 26,F,Consecutive numbering,mittel
Straßenname1,,,Hausnr.4,B5,,WL6
Albrechtstraße,Steglitz-Zehlendorf,,30 - 39,F,Consecutive numbering,gut
Albrechtstraße,Steglitz-Zehlendorf,,40 - 129,F,Consecutive numbering,mittel
Albrechtstraße,Steglitz-Zehlendorf,,131 - 132,F,Consecutive numbering,gut
Albrechtstraße,Tempelhof-Schöneberg,,15 - 127,F,Consecutive numbering,mittel
Albrechtstraße,Tempelhof-Schöneberg,,131 - 145,F,Consecutive numbering,einfach
Albrecht-Thaer-Weg,Steglitz-Zehlendorf,,whole street,K,Complete street,gut
Albtalweg,Reinickendorf,,whole street,K,Complete street,mittel
Albulaweg,Tempelhof-Schöneberg,,whole street,K,Complete street,mittel
Alemannenallee,Charlottenburg-Wilmersdorf,,whole street,K,Complete street,gut
Alemannenstraße,Reinickendorf,,whole street,K,Complete street,gut
Alemannenstraße,Steglitz-Zehlendorf,,whole street,K,Complete street,gut
Alemannenstraße,Treptow-Köpenick,,whole street,K,Complete street,mittel
Alexander-Meißner-Straße,Treptow-Köpenick,,1 - 76,F,Consecutive numbering,einfach
Alexander-Meißner-Straße,Treptow-Köpenick,,77 A - 77 D,F,Consecutive numbering,mittel
Alexander-Meißner-Straße,Treptow-Köpenick,,78 - 88,F,Consecutive numbering,einfach
Alexanderplatz,Mitte,,whole street,K,Complete street,gut
Alexanderstraße,Mitte,,1 - 7,U,Odd numbers only,gut
Alexanderstraße,Mitte,,4,G,Even numbers only,gut
Alexanderstraße,Mitte,,9 - 35,U,Odd numbers only,mittel
Alexanderstraße,Mitte,,36 - 40,G,Even numbers only,mittel
Alexanderufer,Mitte,,whole street,K,Complete street,gut
Alexander-von-Humboldt-Weg,Treptow-Köpenick,,whole street,K,Complete street,mittel
Alexandrinenstraße,Friedrichshain-Kreuzberg,,whole street,K,Complete street,einfach
Alexandrinenstraße,Mitte,,whole street,K,Complete street,gut
Alex-Wedding-Straße,Mitte,,whole street,K,Complete street,gut
Alfelder Straße,Marzahn-Hellersdorf,,20 - 134,G,Even numbers only,mittel
Alfelder Straße,Marzahn-Hellersdorf,,45 - 133,U,Odd numbers only,mittel
Alfelder Straße,Marzahn-Hellersdorf,,137 - 149,U,Odd numbers only,gut
Alfelder Straße,Marzahn-Hellersdorf,,138 - 150,G,Even numbers only,gut
Alfons-Loewe-Straße,Spandau,,whole street,K,Complete street,einfach
Alfonsstraße,Treptow-Köpenick,,6 - 22,G,Even numbers only,einfach
Alfonsstraße,Treptow-Köpenick,,21 - 77,U,Odd numbers only,mittel
Alfonsstraße,Treptow-Köpenick,,26 - 80,G,Even numbers only,mittel
Alfred-Döblin-Straße,Marzahn-Hellersdorf,,whole street,K,Complete street,einfach
Alfred-Jung-Straße,Lichtenberg,,whole street,K,Complete street,mittel
Alfred-Kowalke-Straße,Lichtenberg,,1 - 4,F,Consecutive numbering,mittel
Alfred-Kowalke-Straße,Lichtenberg,,5 - 10,F,Consecutive numbering,einfach
Alfred-Kowalke-Straße,Lichtenberg,,14 - 22,F,Consecutive numbering,mittel
Alfred-Kowalke-Straße,Lichtenberg,,23 - 27,F,Consecutive numbering,einfach
Alfred-Kowalke-Straße,Lichtenberg,,28 A - 28 C,F,Consecutive numbering,mittel
Alfred-Kowalke-Straße,Lichtenberg,,29 - 30,F,Consecutive numbering,einfach
Alfred-Kowalke-Straße,Lichtenberg,,34 - 42,F,Consecutive numbering,mittel
Alfred-Randt-Straße,Treptow-Köpenick,,whole street,K,Complete street,mittel
Alfred-Rojek-Weg,Neukölln,,whole street,K,Complete street,einfach
Alfred-Siggel-Weg,Lichtenberg,,whole street,K,Complete street,mittel
Alfredstraße,Lichtenberg,,whole street,K,Complete street,einfach
Alice-Berend-Straße,Mitte,,whole street,K,Complete street,mittel
Alice-Salomon-Platz,Marzahn-Hellersdorf,,whole street,K,Complete street,mittel
Alice-und-Hella-Hirsch-Ring,Lichtenberg,,whole street,K,Complete street,mittel
Alkenweg,Treptow-Köpenick,,whole street,K,Complete street,mittel
Allee der Kosmonauten,Lichtenberg,,whole street,K,Complete street,einfach
Allee der Kosmonauten,Marzahn-Hellersdorf,,24 - 49,F,Consecutive numbering,einfach
Allee der Kosmonauten,Marzahn-Hellersdorf,,50 - 147,F,Consecutive numbering,mittel
Allee der Kosmonauten,Marzahn-Hellersdorf,,148 - 152,F,Consecutive numbering,einfach
Allee der Kosmonauten,Marzahn-Hellersdorf,,155 - 157,F,Consecutive numbering,mittel
Allee der Kosmonauten,Marzahn-Hellersdorf,,160 - 198,F,Consecutive numbering,einfach
Allee der Kosmonauten,Marzahn-Hellersdorf,,199,F,Consecutive numbering,mittel
Allee der Kosmonauten,Marzahn-Hellersdorf,,200 - 202,F,Consecutive numbering,einfach
Allee der Kosmonauten,Marzahn-Hellersdorf,,203,F,Consecutive numbering,mittel
Allée St. Exupéry,Reinickendorf,,whole street,K,Complete street,mittel
Allendeweg,Treptow-Köpenick,,whole street,K,Complete street,mittel
Allendorfer Weg,Lichtenberg,,whole street,K,Complete street,mittel
Allerstraße,Neukölln,,whole street,K,Complete street,einfach
Allgäuer Weg,Tempelhof-Schöneberg,,whole street,K,Complete street,mittel
Allmendeweg,Reinickendorf,,whole street,K,Complete street,mittel
Allmersweg,Treptow-Köpenick,,whole street,K,Complete street,mittel
Almazeile,Reinickendorf,,whole street,K,Complete street,mittel
Almstadtstraße,Mitte,,whole street,K,Complete street,gut
Almutstraße,Reinickendorf,,whole street,K,Complete street,mittel
Almweg,Tempelhof-Schöneberg,,whole street,K,Complete street,mittel
Alpenberger Straße,Pankow,,whole street,K,Complete street,einfach
Alpenrosenweg,Treptow-Köpenick,,28 - 44,G,Even numbers only,mittel
Alpenrosenweg,Treptow-Köpenick,,43 - 93,U,Odd numbers only,einfach
Alpenrosenweg,Treptow-Köpenick,,48 - 90,G,Even numbers only,einfach
Straßenname1,,,Hausnr.4,B5,,WL6
Alt-Lichtenrade,Tempelhof-Schöneberg,,1 - 85,U,Odd numbers only,mittel
Alt-Lichtenrade,Tempelhof-Schöneberg,,2 - 84,G,Even numbers only,mittel
Alt-Lichtenrade,Tempelhof-Schöneberg,,89 - 141,U,Odd numbers only,einfach
Alt-Lichtenrade,Tempelhof-Schöneberg,,92 - 140,G,Even numbers only,einfach
Alt-Lietzow,Charlottenburg-Wilmersdorf,,whole street,K,Complete street,mittel
Alt-Lübars,Reinickendorf,,whole street,K,Complete street,mittel
Alt-Mahlsdorf,Marzahn-Hellersdorf,,whole street,K,Complete street,mittel
Alt-Mariendorf,Tempelhof-Schöneberg,,1 - 33 A,U,Odd numbers only,mittel
Alt-Mariendorf,Tempelhof-Schöneberg,,2 - 32,G,Even numbers only,mittel
Alt-Mariendorf,Tempelhof-Schöneberg,,34 - 60,G,Even numbers only,einfach
Alt-Mariendorf,Tempelhof-Schöneberg,,37 - 55,U,Odd numbers only,einfach
Alt-Marienfelde,Tempelhof-Schöneberg,,whole street,K,Complete street,mittel
Altmarkstraße,Steglitz-Zehlendorf,,whole street,K,Complete street,mittel
Alt-Marzahn,Marzahn-Hellersdorf,,5 - 69 A,U,Odd numbers only,mittel
Alt-Marzahn,Marzahn-Hellersdorf,,14 - 56 C,G,Even numbers only,mittel
Alt-Marzahn,Marzahn-Hellersdorf,,56 D - 56 H,G,Even numbers only,einfach
Alt-Marzahn,Marzahn-Hellersdorf,,58 - 70,G,Even numbers only,mittel
Alt-Moabit,Mitte,,2,F,Consecutive numbering,gut
Alt-Moabit,Mitte,,5,F,Consecutive numbering,mittel
Alt-Moabit,Mitte,,9 - 10,F,Consecutive numbering,einfach
Alt-Moabit,Mitte,,12 - 34,F,Consecutive numbering,mittel
Alt-Moabit,Mitte,,35 - 65,F,Consecutive numbering,einfach
Alt-Moabit,Mitte,,70 - 138,F,Consecutive numbering,mittel
Alt-Moabit,Mitte,,140 - 146,F,Consecutive numbering,gut
Alt-Müggelheim,Treptow-Köpenick,,whole street,K,Complete street,mittel
Altonaer Straße,Marzahn-Hellersdorf,,whole street,K,Complete street,mittel
Altonaer Straße,Mitte,,1 - 15,U,Odd numbers only,gut
Altonaer Straße,Mitte,,2 - 22,G,Even numbers only,gut
Altonaer Straße,Mitte,,19 - 27,U,Odd numbers only,mittel
Altonaer Straße,Mitte,,26,G,Even numbers only,mittel
Altonaer Straße,Spandau,,whole street,K,Complete street,einfach
Alt-Pichelsdorf,Spandau,,whole street,K,Complete street,mittel
Altrader Weg,Neukölln,,whole street,K,Complete street,einfach
Alt-Reinickendorf,Reinickendorf,,whole street,K,Complete street,einfach
Alt-Rudow,Neukölln,,whole street,K,Complete street,mittel
Alt-Schmöckwitz,Treptow-Köpenick,,whole street,K,Complete street,einfach
Alt-Schönow,Steglitz-Zehlendorf,,whole street,K,Complete street,mittel
Altstädter Ring,Spandau,,whole street,K,Complete street,einfach
Alt-Stralau,Friedrichshain-Kreuzberg,,1 - 66,F,Consecutive numbering,gut
Alt-Stralau,Friedrichshain-Kreuzberg,,68 - 71,F,Consecutive numbering,mittel
Alt-Tegel,Reinickendorf,,1 - 9,U,Odd numbers only,mittel
Alt-Tegel,Reinickendorf,,2 - 44,G,Even numbers only,gut
Alt-Tegel,Reinickendorf,,11 - 51,U,Odd numbers only,gut
Alt-Tempelhof,Tempelhof-Schöneberg,,whole street,K,Complete street,mittel
Alt-Treptow,Treptow-Köpenick,,1 - 3,F,Consecutive numbering,gut
Alt-Treptow,Treptow-Köpenick,,4 - 16,F,Consecutive numbering,mittel
Alt-Treptow,Treptow-Köpenick,,17,F,Consecutive numbering,gut
Altvaterstraße,Steglitz-Zehlendorf,,whole street,K,Complete street,gut
Alt-Wittenau,Reinickendorf,,8 - 34,F,Consecutive numbering,einfach
Alt-Wittenau,Reinickendorf,,35 - 65,F,Consecutive numbering,mittel
Alt-Wittenau,Reinickendorf,,66 - 95,F,Consecutive numbering,einfach
Alvenslebenstraße (Lirad),Tempelhof-Schöneberg,,whole street,K,Complete street,mittel
Alvenslebenstraße (Schön),Tempelhof-Schöneberg,,whole street,K,Complete street,einfach
Alwineweg,Marzahn-Hellersdorf,,whole street,K,Complete street,einfach
Alzeyweg,Lichtenberg,,whole street,K,Complete street,mittel
Am Adlergestell,Treptow-Köpenick,,whole street,K,Complete street,mittel
Am Ahornweg,Lichtenberg,,whole street,K,Complete street,mittel
Am Akazienweg,Lichtenberg,,whole street,K,Complete street,mittel
Am Alten Fenn,Treptow-Köpenick,,whole street,K,Complete street,mittel
Am alten Flugplatz,Lichtenberg,,whole street,K,Complete street,mittel
Am Alten Friedhof,Treptow-Köpenick,,whole street,K,Complete street,einfach
Am alten Gaswerk,Spandau,,whole street,K,Complete street,einfach
Am Amtsgraben,Treptow-Köpenick,,whole street,K,Complete street,mittel
Am Anger,Steglitz-Zehlendorf,,whole street,K,Complete street,gut
Am Appelhorst,Neukölln,,whole street,K,Complete street,einfach
Am Ausblick,Reinickendorf,,whole street,K,Complete street,gut
Am Bachrain,Marzahn-Hellersdorf,,whole street,K,Complete street,mittel
Am Bahndamm,Treptow-Köpenick,,whole street,K,Complete street,mittel
Am Bahnhof Grunewald,Charlottenburg-Wilmersdorf,,whole street,K,Complete street,gut
Am Bahnhof Spandau,Spandau,,whole street,K,Complete street,einfach
Am Bahnhof Westend,Charlottenburg-Wilmersdorf,,whole street,K,Complete street,mittel
Am Bahnhof Wuhlheide,Treptow-Köpenick,,whole street,K,Complete street,mittel
Am Bäkequell,Steglitz-Zehlendorf,,whole street,K,Complete street,mittel
Am Baltenring,Marzahn-Hellersdorf,,whole street,K,Complete street,mittel
Am Finkenherd,Spandau,,whole street,K,Complete street,einfach
Am Fischtal,Steglitz-Zehlendorf,,whole street,K,Complete street,gut
Am Fliederbusch,Charlottenburg-Wilmersdorf,,whole street,K,Complete street,mittel
Am Fließ,Pankow,,whole street,K,Complete street,mittel
Am Flugplatz Gatow,Spandau,,whole street,K,Complete street,mittel
Am Flutgraben,Friedrichshain-Kreuzberg,,whole street,K,Complete street,mittel
Am Flutgraben,Treptow-Köpenick,,whole street,K,Complete street,mittel
Am Fölzberg,Reinickendorf,,whole street,K,Complete street,mittel
Am Forstacker,Spandau,,whole street,K,Complete street,mittel
Am Fort,Spandau,,whole street,K,Complete street,mittel
Am Freibad,Reinickendorf,,whole street,K,Complete street,mittel
Am Friedrichshain,Pankow,,1 - 22,F,Consecutive numbering,gut
Am Friedrichshain,Pankow,,23 - 32,F,Consecutive numbering,mittel
Am Friedrichshain,Pankow,,33 - 35,F,Consecutive numbering,gut
Am Fuchsbau,Reinickendorf,,whole street,K,Complete street,mittel
Am Fuchspaß,Steglitz-Zehlendorf,,whole street,K,Complete street,gut
Am Gartenstadtweg,Treptow-Köpenick,,whole street,K,Complete street,mittel
Am Gehrensee,Lichtenberg,,whole street,K,Complete street,einfach
Am Gemeindepark,Steglitz-Zehlendorf,,whole street,K,Complete street,mittel
Am Generalshof,Treptow-Köpenick,,whole street,K,Complete street,mittel
Am Genossenschaftsring,Lichtenberg,,whole street,K,Complete street,mittel
Am Gewerbepark,Marzahn-Hellersdorf,,whole street,K,Complete street,mittel
Am Glinigk,Treptow-Köpenick,,whole street,K,Complete street,einfach
Am Goldmannpark,Treptow-Köpenick,,1 - 57,U,Odd numbers only,gut
Am Goldmannpark,Treptow-Köpenick,,2 - 80,G,Even numbers only,gut
Am Goldmannpark,Treptow-Köpenick,,63 - 83,U,Odd numbers only,mittel
Am Graben,Lichtenberg,,whole street,K,Complete street,mittel
Am Graben,Pankow,,whole street,K,Complete street,mittel
Am Groen,Marzahn-Hellersdorf,,whole street,K,Complete street,mittel
Am Großen Rohrpfuhl,Neukölln,,whole street,K,Complete street,mittel
Am Großen Wannsee,Steglitz-Zehlendorf,,whole street,K,Complete street,gut
Am Grünen Anger,Treptow-Köpenick,,whole street,K,Complete street,mittel
Am Grünen Hof,Reinickendorf,,whole street,K,Complete street,gut
Am Grünen Zipfel,Reinickendorf,,whole street,K,Complete street,gut
Am Grüngürtel,Reinickendorf,,whole street,K,Complete street,mittel
Am Güterbahnhof Halensee,Charlottenburg-Wilmersdorf,,whole street,K,Complete street,gut
Am Gutshof,Lichtenberg,,whole street,K,Complete street,mittel
Am Gutspark,Lichtenberg,,whole street,K,Complete street,mittel
Am Hain,Charlottenburg-Wilmersdorf,,whole street,K,Complete street,mittel
Am Hamburger Bahnhof,Mitte,,whole street,K,Complete street,mittel
Am Hanffgraben,Neukölln,,whole street,K,Complete street,mittel
Am Haselbusch,Treptow-Köpenick,,whole street,K,Complete street,mittel
Am Haselluch,Spandau,,whole street,K,Complete street,mittel
Am Havelgarten,Spandau,,whole street,K,Complete street,einfach
Am Havelufer,Spandau,,whole street,K,Complete street,mittel
Am Hechtgraben,Lichtenberg,,whole street,K,Complete street,mittel
Am Hegewinkel,Steglitz-Zehlendorf,,whole street,K,Complete street,gut
Am Heideberg,Spandau,,whole street,K,Complete street,einfach
Am Heidebusch,Charlottenburg-Wilmersdorf,,whole street,K,Complete street,einfach
Am Heidehof,Steglitz-Zehlendorf,,whole street,K,Complete street,gut
Am Heidesaum,Steglitz-Zehlendorf,,whole street,K,Complete street,gut
Am Heimenstein,Pankow,,whole street,K,Complete street,mittel
Am Heimhort,Spandau,,whole street,K,Complete street,einfach
Am Hellespont,Tempelhof-Schöneberg,,whole street,K,Complete street,einfach
Am Herzbergteich,Lichtenberg,,whole street,K,Complete street,einfach
Am Hirschsprung,Steglitz-Zehlendorf,,whole street,K,Complete street,gut
Am Hirschwechsel,Reinickendorf,,whole street,K,Complete street,mittel
Am Hohen Feld,Pankow,,whole street,K,Complete street,mittel
Am Horstenstein,Tempelhof-Schöneberg,,whole street,K,Complete street,mittel
Am Hügel,Reinickendorf,,whole street,K,Complete street,mittel
Am Hüllepfuhl,Spandau,,whole street,K,Complete street,einfach
Am Iderfenngraben,Pankow,,whole street,K,Complete street,mittel
Am Igelgrund,Pankow,,whole street,K,Complete street,mittel
Am Irissee,Neukölln,,whole street,K,Complete street,einfach
Am Jartz,Reinickendorf,,whole street,K,Complete street,mittel
Am Juliusturm,Spandau,,whole street,K,Complete street,einfach
Am Kahlschlag,Reinickendorf,,whole street,K,Complete street,gut
Am Kanal,Treptow-Köpenick,,whole street,K,Complete street,mittel
Am Kaniswall,Treptow-Köpenick,,whole street,K,Complete street,einfach
Am Karlsbad,Mitte,,whole street,K,Complete street,mittel
Am Karpfenpfuhl,Steglitz-Zehlendorf,,whole street,K,Complete street,mittel
Am Kesselpfuhl,Reinickendorf,,whole street,K,Complete street,mittel
Am Kiebitzpfuhl,Pankow,,whole street,K,Complete street,mittel
Am Kiefernhang,Spandau,,whole street,K,Complete street,gut
Am Oberhafen,Neukölln,,whole street,K,Complete street,einfach
Am Oberhafen,Spandau,,whole street,K,Complete street,einfach
Am Oder-Spree-Kanal,Treptow-Köpenick,,whole street,K,Complete street,einfach
Am Omnibushof,Spandau,,whole street,K,Complete street,einfach
Am Orangeriepark,Pankow,,whole street,K,Complete street,mittel
Am Ortsrand,Spandau,,whole street,K,Complete street,mittel
Am Osrücken,Reinickendorf,,whole street,K,Complete street,mittel
Am Ostbahnhof,Friedrichshain-Kreuzberg,,whole street,K,Complete street,gut
Am Pankepark,Mitte,,whole street,K,Complete street,gut
Am Park,Mitte,,whole street,K,Complete street,gut
Am Petersberg,Steglitz-Zehlendorf,,whole street,K,Complete street,gut
Am Pfarracker,Steglitz-Zehlendorf,,whole street,K,Complete street,mittel
Am Pfingstberg,Reinickendorf,,whole street,K,Complete street,gut
Am Pfuhl,Steglitz-Zehlendorf,,whole street,K,Complete street,mittel
Am Pichelssee,Spandau,,whole street,K,Complete street,mittel
Am Pilz,Reinickendorf,,whole street,K,Complete street,gut
Am Plänterwald,Treptow-Köpenick,,2 - 16,G,Even numbers only,einfach
Am Plänterwald,Treptow-Köpenick,,17 - 23,U,Odd numbers only,einfach
Am Plänterwald,Treptow-Köpenick,,18 - 36,G,Even numbers only,mittel
Am Plumpengraben,Treptow-Köpenick,,whole street,K,Complete street,einfach
Am Poloplatz,Reinickendorf,,whole street,K,Complete street,mittel
Am Posseberg,Pankow,,3,U,Odd numbers only,mittel
Am Posseberg,Pankow,,6 - 36,G,Even numbers only,einfach
Am Posseberg,Pankow,,31,U,Odd numbers only,einfach
Am Postbahnhof,Friedrichshain-Kreuzberg,,whole street,K,Complete street,mittel
Am Postfenn,Charlottenburg-Wilmersdorf,,whole street,K,Complete street,gut
Am Priesteracker,Reinickendorf,,whole street,K,Complete street,mittel
Am Priesterberg,Reinickendorf,,whole street,K,Complete street,gut
Am Pumpwerk,Treptow-Köpenick,,whole street,K,Complete street,mittel
Am Querschlag,Reinickendorf,,whole street,K,Complete street,gut
Am Rain,Spandau,,whole street,K,Complete street,einfach
Am Rathaus,Tempelhof-Schöneberg,,whole street,K,Complete street,mittel
Am Rathauspark,Reinickendorf,,whole street,K,Complete street,mittel
Am Rehwechsel,Steglitz-Zehlendorf,,whole street,K,Complete street,mittel
Am Rheinischen Viertel,Lichtenberg,,whole street,K,Complete street,mittel
Am Ried,Reinickendorf,,1 - 11,U,Odd numbers only,mittel
Am Ried,Reinickendorf,,4 - 32,G,Even numbers only,mittel
Am Ried,Reinickendorf,,11 A - 35,U,Odd numbers only,gut
Am Ritterholz,Spandau,,whole street,K,Complete street,mittel
Am Rodelberg,Reinickendorf,,whole street,K,Complete street,mittel
Am Rohrbusch,Reinickendorf,,whole street,K,Complete street,mittel
Am Rohrgarten,Steglitz-Zehlendorf,,4 - 30,G,Even numbers only,gut
Am Rohrgarten,Steglitz-Zehlendorf,,5 - 109,U,Odd numbers only,gut
Am Rohrgarten,Steglitz-Zehlendorf,,40,G,Even numbers only,mittel
Am Rohrgarten,Steglitz-Zehlendorf,,70,G,Even numbers only,gut
Am Rohrgarten,Steglitz-Zehlendorf,,90 - 106,G,Even numbers only,mittel
Am Rollberg,Pankow,,whole street,K,Complete street,einfach
Am Römersgrün,Neukölln,,whole street,K,Complete street,einfach
Am Rosenanger,Reinickendorf,,whole street,K,Complete street,gut
Am Rosenhag,Marzahn-Hellersdorf,,whole street,K,Complete street,mittel
Am Rosensteg,Reinickendorf,,whole street,K,Complete street,mittel
Am Roten Stein,Spandau,,whole street,K,Complete street,gut
Am Rötepfuhl,Neukölln,,whole street,K,Complete street,einfach
Am Ruderverein,Treptow-Köpenick,,whole street,K,Complete street,mittel
Am Rudolfplatz,Friedrichshain-Kreuzberg,,whole street,K,Complete street,mittel
Am Rudower Waldrand,Neukölln,,whole street,K,Complete street,einfach
Am Rundling,Treptow-Köpenick,,whole street,K,Complete street,mittel
Am Rupenhorn,Charlottenburg-Wilmersdorf,,whole street,K,Complete street,gut
Am Sandberg,Lichtenberg,,whole street,K,Complete street,mittel
Am Sandhaus,Pankow,,whole street,K,Complete street,mittel
Am Sandwerder,Steglitz-Zehlendorf,,whole street,K,Complete street,gut
Am Schäfersee,Reinickendorf,,whole street,K,Complete street,einfach
Am Schilf,Lichtenberg,,whole street,K,Complete street,mittel
Am Schillertheater,Charlottenburg-Wilmersdorf,,whole street,K,Complete street,gut
Am Schlachtensee,Steglitz-Zehlendorf,,whole street,K,Complete street,gut
Am Schlangengraben,Spandau,,whole street,K,Complete street,einfach
Am Schlehdorn,Marzahn-Hellersdorf,,whole street,K,Complete street,mittel
Am Schloßberg,Treptow-Köpenick,,whole street,K,Complete street,mittel
Am Schloßhof,Marzahn-Hellersdorf,,whole street,K,Complete street,mittel
Am Schloßpark,Pankow,,2 - 34,F,Consecutive numbering,gut
Am Schloßpark,Pankow,,37,F,Consecutive numbering,mittel
Am Schmeding,Marzahn-Hellersdorf,,whole street,K,Complete street,einfach
Am Schonungsberg,Treptow-Köpenick,,whole street,K,Complete street,einfach
Am Schülerheim,Steglitz-Zehlendorf,,whole street,K,Complete street,gut
Am Weingarten,Pankow,,whole street,K,Complete street,einfach
Am Weinhang,Friedrichshain-Kreuzberg,,whole street,K,Complete street,mittel
Am Weißen Steg,Steglitz-Zehlendorf,,whole street,K,Complete street,mittel
Am Werksgarten,Treptow-Köpenick,,whole street,K,Complete street,mittel
Am Wieselbau,Steglitz-Zehlendorf,,whole street,K,Complete street,gut
Am Wiesenende,Reinickendorf,,whole street,K,Complete street,mittel
Am Wiesengraben,Treptow-Köpenick,,whole street,K,Complete street,mittel
Am Wiesengrund,Pankow,,whole street,K,Complete street,mittel
