ortsteil,alcohol,animal_training,antiques,art,bar,bathing_place,books,butcher,childcare,clothes,community_centre,confectionery,convenience,deli,dog_park,electronics,fitness_station,florist,fountain,games,garden,greenfield,greengrocer,hairdresser,ice_cream,kiosk,marina,nature_reserve,nightclub,parking,pitch,playground,restaurant,second_hand,stationery,supermarket,theatre,travel_agency,vacant,wine,yes,cafes,bakeries,green_space,schools,medical
Charlottenburg,0,0,1,1,51,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,3,0,0,0,0,1,0,0,12,0,0,83,471,0,0,62,0,0,0,1,0,256,4,540,112,47
Charlottenburg-Nord,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,73,7,0,0,4,0,0,0,0,0,2,0,92,16,3
Dahlem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,19,0,0,4,0,0,0,0,0,26,0,330,63,10
Falkenberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,1,0,28,3,0
Falkenhagener Feld,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,11,0,0,6,0,0,0,0,0,0,0,93,23,5
Fennpfuhl,0,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,14,0,0,11,0,0,0,0,0,4,0,153,22,10
Französisch Buchholz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,4,0,0,10,0,0,0,0,0,2,0,115,17,3
Friedenau,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,56,0,0,15,0,0,0,0,0,22,1,312,44,7
Friedrichsfelde,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,14,0,0,19,0,0,1,0,0,12,0,216,35,13
Friedrichshagen,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,30,0,0,7,0,0,0,0,0,6,1,75,21,4
Friedrichshain,0,0,0,0,78,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,29,0,0,159,307,1,0,50,0,0,0,0,0,144,2,776,111,25
Frohnau,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,5,0,0,0,0,0,4,1,460,15,3
Gatow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,1,0,0,0,0,0,3,0,22,8,1
Gesundbrunnen,0,0,0,0,49,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,125,53,0,0,24,0,0,0,0,0,51,1,300,94,20
Gropiusstadt,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,6,0,0,10,0,0,0,0,0,6,0,200,25,4
Grunewald,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,0,0,1,0,0,0,0,0,3,0,172,11,1
Grünau,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,7,0,0,2,0,0,0,0,0,4,0,69,7,1
Hakenfelde,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,16,0,0,8,0,0,0,0,0,8,0,110,23,6
Halensee,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,25,0,0,8,0,0,0,0,0,12,0,26,12,6
Hansaviertel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,1,0,0,0,0,0,4,1,107,6,1
Haselhorst,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,9,0,0,5,0,0,0,0,0,3,0,90,14,1
