bezirk,ortsteil,subdistrict_population_age_0_5,subdistrict_population_age_5_10,subdistrict_population_age_10_15,subdistrict_population_age_15_20,subdistrict_population_age_20_25,subdistrict_population_age_25_30,subdistrict_population_age_30_35,subdistrict_population_age_35_40,subdistrict_population_age_40_45,subdistrict_population_age_45_50,subdistrict_population_age_50_55,subdistrict_population_age_55_60,subdistrict_population_age_60_65,subdistrict_population_age_65_70,subdistrict_population_age_70_75,subdistrict_population_age_75_80,subdistrict_population_age_80_85,subdistrict_population_age_85_90,subdistrict_population_age_90_95,subdistrict_population_age_95_plus,subdistrict_male_population,subdistrict_female_population,total_population,subdistrict_senior_population,subdistrict_youth_population,subdistrict_senior_share,subdistrict_youth_share,subdistrict_middle_age_population,Unnamed: 0,subdistrict_avg_mietspiegel_classification,subdistrict_total_full_time_employees,subdistrict_avg_median_income_eur,classification_category,alcohol,animal_training,antiques,art,bar,bathing_place,books,butcher,childcare,clothes,community_centre,confectionery,convenience,deli,dog_park,electronics,fitness_station,florist,fountain,games,garden,greenfield,greengrocer,hairdresser,ice_cream,kiosk,marina,nature_reserve,nightclub,parking,pitch,playground,restaurant,second_hand,stationery,supermarket,theatre,travel_agency,vacant,wine,yes,cafes,bakeries,green_space,schools,medical,k4_cluster
neukoelln,britz,2095.0,2041.0,1811.0,1695.0,2407.0,3211.0,3456.0,3030.0,2619.0,2449.0,3041.0,3412.0,2753.0,2244.0,2020.0,1843.0,1549.0,759.0,317.0,94.0,21260,21586,42846,8826.0,7642.0,0.2059935583251645,0.1783597068571162,0.6156467348177193,30,1.2422680412371134,1103666.0,3362.5,affordable,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,81,31,0,0,16,0,0,0,0,0,13,0,524,41,5,2
pankow,buch,1050.0,895.0,774.0,647.0,761.0,852.0,1355.0,1347.0,1128.0,840.0,973.0,1063.0,955.0,895.0,685.0,880.0,754.0,399.0,176.0,44.0,8074,8399,16473,3833.0,3366.0,0.2326837855885388,0.2043343653250774,0.5629818490863838,37,1.452054794520548,133444.0,3070.0,affordable,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,4,0,0,6,0,0,0,0,0,3,0,310,21,8,0
neukoelln,buckow,1847.0,1893.0,1761.0,1764.0,2026.0,2227.0,2403.0,2280.0,2205.0,2211.0,3025.0,3183.0,2575.0,2407.0,2356.0,2628.0,2093.0,920.0,282.0,60.0,19415,20731,40146,10746.0,7265.0,0.2676729935734568,0.1809644796492801,0.5513625267772629,31,1.2045454545454546,526944.0,3992.0,affordable,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,82,29,0,0,18,0,0,0,0,0,1,0,97,33,13,2
charlottenburg-wilmersdorf,charlottenburg,5217.0,4445.0,4102.0,4245.0,7582.0,10992.0,12145.0,10253.0,8618.0,8148.0,9354.0,9996.0,8469.0,7377.0,6772.0,5507.0,3737.0,1567.0,632.0,201.0,63894,65465,129359,25793.0,18009.0,0.1993908425389806,0.1392172172017408,0.6613919402592784,0,2.195729537366548,9204717.0,4566.785714285715,moderate,0,0,1,1,51,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,3,0,0,0,0,1,0,0,12,0,0,83,471,0,0,62,0,0,0,1,0,256,4,540,112,47,3
charlottenburg-wilmersdorf,charlottenburg-nord,976.0,893.0,872.0,792.0,1108.0,1317.0,1525.0,1296.0,1306.0,1199.0,1342.0,1381.0,1178.0,987.0,832.0,877.0,861.0,424.0,192.0,64.0,9491,9931,19422,4237.0,3533.0,0.2181546699618989,0.1819071156420554,0.5999382143960457,1,1.04,286400.0,4522.648195488722,affordable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,73,7,0,0,4,0,0,0,0,0,2,0,92,16,3,0
steglitz-zehlendorf,dahlem,692.0,890.0,987.0,1031.0,869.0,675.0,689.0,929.0,944.0,1172.0,1491.0,1334.0,982.0,884.0,908.0,1058.0,822.0,350.0,152.0,57.0,8121,8795,16916,4231.0,3600.0,0.2501182312603452,0.2128162686214235,0.5370655001182313,68,2.918918918918919,294816.0,5629.0,expensive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,19,0,0,4,0,0,0,0,0,26,0,330,63,10,0
lichtenberg,falkenberg,178.0,143.0,139.0,126.0,140.0,113.0,165.0,157.0,180.0,113.0,146.0,219.0,150.0,116.0,28.0,30.0,22.0,15.0,6.0,3.0,1143,1046,2189,220.0,586.0,0.100502512562814,0.267702147099132,0.631795340338054,10,1.0,0.0,3575.7291666666665,affordable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,1,0,28,3,0,0
spandau,falkenhagener feld,1981.0,2077.0,1954.0,1854.0,2122.0,2441.0,2725.0,2527.0,2280.0,2170.0,2600.0,2842.0,2372.0,2035.0,1740.0,1946.0,1863.0,806.0,273.0,59.0,18658,20009,38667,8722.0,7866.0,0.2255670209739571,0.2034292807820622,0.5710036982439807,59,1.018348623853211,943504.0,3422.8333333333335,affordable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,11,0,0,6,0,0,0,0,0,0,0,93,23,5,2
lichtenberg,fennpfuhl,1528.0,1349.0,1162.0,1132.0,1980.0,2628.0,3502.0,2627.0,1872.0,1640.0,1816.0,1960.0,1637.0,1514.0,1811.0,2394.0,2008.0,853.0,283.0,55.0,16570,17181,33751,8918.0,5171.0,0.2642292080234659,0.1532102752511036,0.5825605167254304,11,1.5263157894736843,403636.0,3231.0,moderate,0,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,14,0,0,11,0,0,0,0,0,4,0,153,22,10,0
pankow,franzoesisch buchholz,1085.0,1254.0,1163.0,1050.0,836.0,686.0,1364.0,1613.0,1640.0,1397.0,1908.0,2092.0,1489.0,1129.0,765.0,835.0,687.0,317.0,110.0,29.0,10630,10819,21449,3872.0,4552.0,0.1805212364212783,0.2122243461233623,0.6072544174553592,38,1.712041884816754,1454465.0,4243.6,moderate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,4,0,0,10,0,0,0,0,0,2,0,115,17,3,0
tempelhof-schoeneberg,friedenau,1202.0,1166.0,1210.0,1229.0,1490.0,1824.0,1986.0,1928.0,1837.0,1764.0,2233.0,2410.0,1882.0,1715.0,1472.0,1323.0,834.0,300.0,145.0,48.0,13050,14948,27998,5837.0,4807.0,0.2084791770840774,0.1716908350596471,0.6198299878562754,75,2.808988764044944,1092653.0,4614.5,expensive,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,56,0,0,15,0,0,0,0,0,22,1,312,44,7,0
lichtenberg,friedrichsfelde,2817.0,2167.0,1807.0,1766.0,3205.0,4388.0,5782.0,4586.0,3365.0,2478.0,2741.0,3309.0,2839.0,2936.0,2471.0,3197.0,3258.0,1631.0,564.0,116.0,26963,28460,55423,14173.0,8557.0,0.2557241578406077,0.1543943850026162,0.5898814571567761,12,1.653061224489796,1394834.0,3532.75,moderate,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,14,0,0,19,0,0,1,0,0,12,0,216,35,13,2
treptow-koepenick,friedrichshagen,888.0,853.0,785.0,732.0,590.0,548.0,1138.0,1257.0,1280.0,1097.0,1507.0,1591.0,1135.0,993.0,738.0,1188.0,1471.0,806.0,317.0,95.0,8761,10248,19009,5608.0,3258.0,0.2950181492977011,0.1713924982902835,0.5335893524120153,86,2.417391304347826,279335.0,3350.0,moderate,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,30,0,0,7,0,0,0,0,0,6,1,75,21,4,0
friedrichshain-kreuzberg,friedrichshain,7665.0,5701.0,4364.0,3508.0,6929.0,15267.0,21961.0,18100.0,13327.0,8676.0,7828.0,6317.0,4412.0,3194.0,2097.0,2723.0,2438.0,1396.0,602.0,147.0,70442,66210,136652,12597.0,21238.0,0.0921830635482832,0.1554166788630975,0.7524002575886193,7,2.438709677419354,5759800.0,4017.428571428571,moderate,0,0,0,0,78,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,29,0,0,159,307,1,0,50,0,0,0,0,0,144,2,776,111,25,1
reinickendorf,frohnau,659.0,830.0,898.0,858.0,644.0,413.0,491.0,717.0,878.0,1034.0,1401.0,1459.0,1174.0,1053.0,1124.0,1331.0,1025.0,450.0,184.0,66.0,8018,8671,16689,5233.0,3245.0,0.3135598298280304,0.1944394511354784,0.4920007190364911,49,2.875912408759124,0.0,4109.027777777778,expensive,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,5,0,0,0,0,0,4,1,460,15,3,0
spandau,gatow,105.0,147.0,172.0,194.0,135.0,118.0,114.0,132.0,185.0,162.0,298.0,318.0,310.0,265.0,244.0,279.0,184.0,73.0,21.0,13.0,1729,1740,3469,1079.0,618.0,0.3110406457192274,0.1781493225713462,0.5108100317094263,60,2.216666666666667,52560.0,4663.0,moderate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,1,0,0,0,0,0,3,0,22,8,1,0
mitte,gesundbrunnen,5333.0,5138.0,4805.0,4713.0,7290.0,9887.0,10483.0,8054.0,6543.0,5742.0,5445.0,5432.0,3968.0,3062.0,2623.0,2240.0,1839.0,862.0,322.0,81.0,48611,45251,93862,11029.0,19989.0,0.1175022905968336,0.2129615818968272,0.6695361275063391,24,1.2890625,2064128.0,3610.777777777778,affordable,0,0,0,0,49,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,125,53,0,0,24,0,0,0,0,0,51,1,300,94,20,2
neukoelln,gropiusstadt,2094.0,1785.0,1645.0,1662.0,1997.0,2513.0,2695.0,2188.0,1998.0,1953.0,2294.0,2633.0,2256.0,1989.0,2048.0,2461.0,2111.0,987.0,302.0,75.0,17919,19767,37686,9973.0,7186.0,0.2646340816218224,0.19068088945497,0.5446850289232076,32,1.3,0.0,3829.5,affordable,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,6,0,0,10,0,0,0,0,0,6,0,200,25,4,2
charlottenburg-wilmersdorf,grunewald,479.0,505.0,461.0,466.0,450.0,484.0,558.0,622.0,669.0,713.0,841.0,838.0,695.0,633.0,700.0,857.0,659.0,297.0,161.0,88.0,5353,5823,11176,3395.0,1911.0,0.3037759484609878,0.1709914101646385,0.5252326413743736,2,2.854368932038835,603786.0,4554.75,expensive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,0,0,1,0,0,0,0,0,3,0,172,11,1,0
treptow-koepenick,gruenau,424.0,293.0,255.0,209.0,281.0,314.0,640.0,585.0,520.0,419.0,529.0,529.0,447.0,410.0,310.0,347.0,415.0,216.0,62.0,12.0,3530,3687,7217,1772.0,1181.0,0.2455313842316752,0.1636414022447,0.5908272135236248,87,2.0579710144927534,0.0,3955.6111111111113,moderate,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,7,0,0,2,0,0,0,0,0,4,0,69,7,1,0
spandau,hakenfelde,1648.0,1357.0,1329.0,1291.0,1662.0,1912.0,2421.0,2079.0,1836.0,1698.0,2006.0,2360.0,1886.0,1729.0,1540.0,1618.0,1468.0,828.0,486.0,173.0,14998,16329,31327,7842.0,5625.0,0.2503271937944903,0.1795575701471574,0.5701152360583522,61,1.7142857142857142,882525.0,4024.75,moderate,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,16,0,0,8,0,0,0,0,0,8,0,110,23,6,0
charlottenburg-wilmersdorf,halensee,630.0,507.0,492.0,534.0,782.0,1130.0,1348.0,1151.0,1028.0,941.0,1168.0,1219.0,1004.0,978.0,852.0,821.0,580.0,216.0,83.0,33.0,7567,7930,15497,3563.0,2163.0,0.2299154675098406,0.1395754016906498,0.6305091307995095,3,2.5609756097560976,0.0,4522.648195488722,expensive,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,25,0,0,8,0,0,0,0,0,12,0,26,12,6,0
mitte,hansaviertel,169.0,140.0,127.0,177.0,577.0,816.0,605.0,358.0,285.0,299.0,339.0,414.0,298.0,316.0,297.0,308.0,222.0,106.0,59.0,12.0,3093,2831,5924,1320.0,613.0,0.2228224172856178,0.1034773801485482,0.6737002025658338,25,2.526315789473684,0.0,4317.59404040404,expensive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,1,0,0,0,0,0,4,1,107,6,1,0
spandau,haselhorst,941.0,858.0,795.0,748.0,876.0,1142.0,1204.0,1240.0,1135.0,995.0,1154.0,1204.0,1015.0,774.0,749.0,690.0,576.0,264.0,96.0,15.0,7928,8543,16471,3164.0,3342.0,0.1920951976200595,0.2029020703053852,0.6050027320745552,62,1.0,223600.0,3413.5,affordable,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,9,0,0,5,0,0,0,0,0,3,0,90,14,1,0
