PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,ortsteil,k5_cluster,k8_cluster
-4.370050520257792,1.1719717540495944,-0.9512135052575909,1.8885627392362512,4.988380581815766,-2.493261296273109,-1.5218788537253152,-0.5788744136489283,0.6740465634638074,1.3182067021710355,-0.925301056838621,0.5947498297290381,-0.5821699852991528,0.1637244098668877,0.0552096675721015,-0.5146710552838073,0.088352340881309,-2.097385154693827,-0.4747982159922709,1.2000241810787506,adlershof,4,7
1.2272829058632808,-1.0225823580631834,-5.83243014831822,1.2835842730675875,-5.192637585494373,-3.4664571656122876,0.7454408556187437,-0.353732793314313,0.7279668530547576,-0.5943656908962635,0.3003669141918824,-0.631840573672068,0.6492808442365102,-0.1590521541753278,0.5128167501221517,0.2080689605666636,-0.259544199501459,-0.6036843482462202,0.0173186745845982,0.9144239988819995,alt-hohenschoenhausen,2,4
-4.843445637673818,1.6531331016774171,-1.0148949239289249,1.5478383598532444,4.7058162362749165,-2.122332240478931,-1.1713243343280748,0.2983448342516451,1.759986959842641,0.5229387264837537,-0.2888206725974773,1.0236081512427535,-0.8841736541987846,1.9137212390007028,1.36240703260094,0.4836212106263668,1.8969413845520608,0.9024716450796118,0.1295979151110674,-0.0680618650811397,alt-treptow,4,7
-3.952948568999631,0.5117428706346114,-0.9707091269487692,2.708535569584711,4.381396858450712,-2.2516665895378862,-0.9235795789169776,-1.239346940474935,-0.2775137308313856,1.568697211752966,-1.3030664115782562,1.462168806658723,0.0710285572165462,1.5320033809512386,0.5057384445778568,2.389422080650123,-1.18393513705514,-2.2800628659441644,-0.983487281024771,0.6306507402691596,altglienicke,4,7
-4.715395188539166,1.259656375872762,-0.8302363220628944,1.6844939948231026,4.0474697029450315,-2.3662583466869425,-0.8067275555387317,-1.0464036617711354,-0.1266465189416144,0.847051159339438,-0.9427272097165458,0.3595854403271417,-0.5257999441804684,-0.7080292795932899,0.4532734034697789,-0.3963444549858457,0.3366114863743124,-0.1539817767900838,-0.076349497462237,0.0074415867535879,baumschulenweg,4,7
-5.331604856447867,-2.0103832808535342,-2.592574689004934,4.56868412570775,-0.7296695561994829,-2.6050287085656527,-1.5598782943355352,-1.5808640459555712,-0.4417342170603542,-1.1624619425520375,4.347640855427561,-1.0723631746886229,-1.8887547977261865,1.0005876714360888,-3.99479952133296,-1.84836680843996,1.27158331416166,1.8999034546962417,2.386498257139484,3.1028645851818095,biesdorf,4,7
0.328050662685302,11.07917367422148,2.7300229288473683,3.4879899254164015,-0.3238220183381098,1.7358931685411496,0.4242837134401066,1.18306637764502,-0.6038555143851769,-0.4871090310835398,-0.0690296983778883,-1.5889488493729715,0.2486386697686724,0.0466024270547035,-0.387766634477923,-0.089975041742109,-0.1845646980498635,-0.0119532831236411,-0.459786675431989,1.5843183379251669,blankenburg,0,0
-0.0544246084758488,11.46347610474726,2.259446115242702,3.3861789560955544,-0.4703707272181483,1.8751239300340377,0.4205472417851177,2.598252531498574,-0.7689932376132402,-0.2356062391587686,1.6827449051080956,-0.2900117094741021,-0.3500965780026899,0.7267086707907002,0.3893430343571767,0.5561023773390662,-0.3021714487895737,-0.7496395619047926,-3.1909266658530595,0.2654379232136778,blankenfelde,0,0
-5.380676453121291,1.8574707612885912,-1.121928590430234,1.511039716395168,3.962415809458781,-2.273937565115959,-0.8618602966239525,-0.6443125761301209,-0.0729467809399275,0.893549910921863,-0.6948640980214582,0.5193785014104423,-0.5421752747823764,-0.0753972876554116,0.5122950517733502,0.2818702297621611,0.139483337976164,0.1439623912553175,0.0703928344653718,-0.0743816994826318,bohnsdorf,4,7
-8.04557769615193,-2.456112545051408,-0.3286696557552968,-3.0553074082076286,0.4838945991744797,2.6147788040463564,-0.490000290262306,2.084220358082607,0.5914416336688944,0.6353778594745338,0.6754053265125525,0.761287991525481,-0.4427300295693773,1.3367869643520447,0.1072695689584492,-0.9482075915371772,-0.9505970676333207,-0.6918829341282561,-3.657440470855988,-1.6185058730969812,borsigwalde,1,1
1.3324816940954534,-1.650832042984384,-3.0606730557159088,-0.5469472771816252,-2.718322866239349,3.208743050282766,0.646192634202386,1.2887226029546857,-3.273297724590369,1.462078977548538,1.735582604825567,2.589375647850304,-2.808510572622251,-1.792700608200769,1.1338376196969469,0.1197023638272492,-0.3542403300038797,1.8978370907528948,0.4663851466381486,1.2019744772747056,britz,1,1
1.2022282624329823,10.480800519731094,2.6622485900567856,4.542158197714958,-0.6506225171770144,1.6523678040857432,1.1080284717597708,0.7663769516513409,-1.7062979179210758,-0.0226833997767004,-0.2705398849969286,-1.2289246395307691,0.378980461891969,0.1616049237476592,1.5923314484434488,2.5121612132993243,0.1795103961853615,3.4230542747495547,1.0638789523932124,-2.675566822889786,buch,0,0
0.5848672654058612,-0.9367556749951618,-2.921577131886582,-1.207869313843419,-3.036318224568594,2.7076242440091303,0.5524529692729283,0.0622641996308827,-1.685159556994298,1.3276455388513475,-1.8147340920999953,-0.264786780112817,-1.2686953575761408,-1.1341930378696117,0.6271552190523082,-1.3986383200982049,-1.2614283017547776,2.1340933092762655,-0.5706987920400106,0.7712008738481195,buckow,1,1
